artifact_id,path,artifact_kind,role,authority,dimension_claim,derived_from,fabrication_required,review_status,notes
V5-REG-001,README.md,markdown,packet-overview,concept_only,none,existing repo packet,false,self_checked,"Adds approved L2 V5 status and authority boundary; not a fabrication artifact."
V5-REG-002,design.md,markdown,design-narrative,pending_measurement,planning dimensions and acoustic targets require review,existing Round 5 packet,false,unreviewed,"Contains the design thesis and model narrative; existing numeric claims remain planning authority until source review or measurement."
V5-REG-003,parameters.csv,csv,parameter-table,pending_measurement,all parameter values require review,design.md,false,unreviewed,"Parameter table is a planning surface; promote individual rows only after reviewed CAD/design-table or measured evidence."
V5-REG-004,wolfram-starter.wl,wolfram,model-source,pending_measurement,computed acoustic and structural outputs require execution/evidence,design.md,false,unreviewed,"Source exists, but runtime outputs and measured comparison are required before L3 claims."
V5-REG-005,solidworks-plan.md,markdown,cad-plan,pending_measurement,planned global variables and feature tree require CAD review,parameters.csv,true,unreviewed,"Plan for future SolidWorks authoring; no .sldprt/.sldasm authority exists in this repo."
V5-REG-006,cad/README.md,markdown,cad-placeholder,pending_measurement,planned CAD filenames only,solidworks-plan.md,true,self_checked,"CAD directory documents planned files; no CAD geometry is present."
V5-REG-007,flat-pattern-checklist.md,markdown,dxf-spec,pending_measurement,flat-pattern dimensions require CAD/DXF review,parameters.csv,true,unreviewed,"Checklist/specification only; not a generated or reviewed DXF."
V5-REG-008,drawings/README.md,markdown,drawing-placeholder,pending_measurement,planned DXF/PDF filenames only,flat-pattern-checklist.md,true,self_checked,"Drawing directory documents planned outputs; no DXF/PDF geometry is present."
V5-REG-009,bend-table.csv,csv,bend-planning-table,pending_measurement,bend allowances require shop/CAD review,flat-pattern-checklist.md,true,unreviewed,"Bend values remain planning authority until checked against material, tooling, and CAD."
V5-REG-010,cut-list.csv,csv,stock-and-nesting-plan,pending_measurement,stock and blank sizes require review,parameters.csv,true,unreviewed,"Use for sourcing/planning only until drawings and material evidence are reviewed."
V5-REG-011,cnc/cnc-plan.json,json,cnc-operation-plan,pending_measurement,operation data requires shop review,flat-pattern-checklist.md,true,unreviewed,"Operation graph only; no CAM/toolpath authority."
V5-REG-012,cnc/operations.csv,csv,cnc-operation-table,pending_measurement,operation data requires shop review,cnc/cnc-plan.json,true,unreviewed,"Shop plan rows require tooling, fixture, and coupon evidence before fabrication use."
V5-REG-013,cnc/setup-sheet.md,markdown,setup-sheet,pending_measurement,setup details require shop review,cnc/operations.csv,true,unreviewed,"Setup narrative is not a machine setup approval."
V5-REG-014,fabrication-plan.md,markdown,fabrication-sequence,pending_measurement,process claims require shop evidence,cnc/setup-sheet.md,true,unreviewed,"Process plan remains gated by coupon, weld, bend, and prototype validation."
V5-REG-015,assembly-manual.md,markdown,assembly-sequence,pending_measurement,assembly steps require prototype validation,fabrication-plan.md,true,unreviewed,"Assembly procedure is a candidate process, not measured build evidence."
V5-REG-016,validation.csv,csv,validation-gates,pending_measurement,predicted and pass rows require measured results,design.md,false,unreviewed,"Measured column is mostly empty; use as gate tracker until prototype evidence lands."
V5-REG-017,risks.md,markdown,risk-register,concept_only,none,existing repo packet,false,self_checked,"Risk and release gates define blockers; not dimensional authority."
V5-REG-018,photo-shotlist.md,markdown,evidence-photo-plan,concept_only,none,existing repo packet,false,self_checked,"Future photo plan only; no photo evidence captured in this migration."
V5-REG-019,visual-bom-brief.md,markdown,visual-brief,concept_only,none,bom.csv,false,self_checked,"Brief for future visuals; no generated image is present."
V5-REG-020,explorer.html,html,studio-explorer,derived_preview,non-authoritative summary of existing packet files,README.md,false,unreviewed,"Communication preview only; do not infer dimensions or tuning values from the page."
V5-REG-021,learn-to-play/README.md,markdown,player-notes,concept_only,none,existing repo packet,false,self_checked,"Playing notes are not acoustic validation evidence."
V5-REG-022,agent-record.md,markdown,provenance-note,reference_only,none,Round 5 agent record,false,self_checked,"Historical agent record; useful for provenance but not fabrication authority."
V5-REG-023,cad/mcp-session-log.md,markdown,tool-provenance,concept_only,none,R3 migration,false,self_checked,"Documents this migration and absence of live MCP/CAD/measurement tooling."
